Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,1,0.28,0,0,0,0,1,0.27,0,0.47,0,0.81,1
0.334,0.98,0,0,0,0,0.09,0,0.01,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.32,1
0.667,0.98,0.03,0,0,0,1.04,0,0.27,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0.22,0,0.45,1
1.001,0.98,0.28,0,0,0,0.91,0,0.25,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,1,0.04,1,0.31,1
1.335,0.98,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.11,1,0,0,0,1,0.04,1,0.9,1,0,0
1.668,0.98,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.55,1,0,0,0,1,0.04,0,1.08,0,0,0
2.002,0.98,0,0,0,0,0.08,0,0,0,0.01,0,0,0,0,0,0,0,0,1,0,0,0,1,0.14,0,0,0,0,1,0.23,0,0.7,0,0,0
2.336,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0.07,0,0,0,0,0,0.53,0,0.36,0,0,0
2.669,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.003,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.337,0.98,0.59,0,0.4,0,0.21,0,0,0,0,0,0.48,0,0.42,0,0.4,0,0.31,0,0,0,4.85,1,3.46,1,2.4,0,1.48,1,0.59,0,0.75,0,0.13,0
3.67,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.004,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.338,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.671,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.005,0.77,0.47,0,0.04,0,0.2,0,0.45,0,0,0,0.4,0,0.91,0,0.69,0,0,0,0,0,5,0,1.6,1,1.21,0,2.86,0,0.19,0,0.89,0,0.2,0
5.339,0.88,0.9,1,0,0,0,1,0.49,0,0,0,0,0,0.09,1,0,0,0,0,0,0,5,1,4.42,1,3.79,1,0.56,1,0.06,0,2.1,0,0,0
