Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.98,0.53,0,0.3,1,0.21,1,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,1
0.334,0.98,0.02,0,0,0,0,1,0,0,0.4,0,1.04,1,0.08,1,0.12,1,0.34,0,0,0,0,0,0.61,1,0,0,0,1,0,0,0,0,0,1
0.667,0.88,0,0,0,0,0,0,0.05,0,0.33,0,0,0,0.61,1,1.11,1,0,0,0,0,0.11,0,0.73,1,0.62,0,0,0,1.05,0,0.08,0,0,0
1.001,0.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.86,1,0.04,0,0.05,0,1.9,1,1.24,0,0,0
1.334,0.98,0,0,0.09,0,0,1,0,0,0,0,0,0,0,0,0.12,1,0,0,0,0,1.86,0,2.21,1,0.86,0,0.72,0,2.09,1,0.97,0,0,0
1.668,0.98,0,0,0,0,0,1,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,1.65,0,2.07,1,0.99,1,0.65,0,1.04,0,1.25,0,0,0
2.001,0.98,0.94,1,0,0,0.09,1,0,0,0,0,0,0,0.01,0,0,0,0.2,1,0.25,0,0,0,0.51,1,0,0,0,0,0.99,0,0.76,0,0,0
2.335,0.98,1.21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.64,1,0.13,0,0,0,0.34,0,0,0,0.24,0,0.65,0,1.23,1,0,0
2.669,0.98,0.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,1,0,0,0,0,0.11,0,0,0,0,0,1.14,1,0.68,1,0,0
3.002,0.98,0.93,0,0,0,0.54,1,0,0,0,0,0,0,0.39,1,0,0,0.39,1,0,0,0.43,1,2.18,1,0.72,0,0.09,0,1.73,0,1.38,0,0.34,0
3.336,0.98,1.52,0,0,0,0,0,0,0,0,0,0,0,0.87,1,1.05,0,0.55,1,0,0,1.25,1,3.31,1,0.16,0,0.56,0,1.25,0,1.13,0,0.06,0
3.669,0.88,1.76,1,0,0,0,0,0,0,0,0,0,0,0.46,1,0.84,0,0.96,1,0,0,0.35,1,3.42,1,0.29,0,0.73,0,1.13,0,1.44,0,0.14,0
4.003,0.98,0.87,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0.08,0,0.85,1,0,0,0,1,2.55,1,0,0,0.37,0,1.57,0,1.77,1,0.1,0
4.336,0.98,0.51,0,0,0,0,0,0,0,0,0,0,0,0.57,1,0.36,0,0.76,1,0,0,0,1,2.87,1,0,0,0.45,0,1.02,0,1.13,0,0,0
4.67,0.77,1.55,1,0,0,0,0,0,0,0,0,0,0,0.37,1,0.83,0,1,1,0,0,0,1,3.69,1,0.06,0,1.08,0,1.69,0,2.12,1,0,0
5.004,0.88,1.58,0,0,0,0,0,0,0,0,0,0,0,1.21,1,1.28,1,1.44,1,0,0,0.14,1,3.75,1,0.15,0,0.6,0,0.55,0,1.28,0,0,0
5.337,0.88,0.55,1,0,0,0.1,0,0.47,0,0,0,0,0,0.66,1,0,0,0,1,0,0,0,0,1.79,1,0.33,0,0.08,0,1.69,1,1.18,0,0.05,0
5.671,0.98,1.06,1,0.34,0,0.55,1,0.18,0,0,0,0,0,1.3,1,0.17,0,0,0,0,0,0.56,1,1.97,1,0.03,0,0.25,0,0.89,0,1.02,0,0,0
6.004,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.338,0.98,0.44,0,0,0,0.05,1,0,0,0,0,0,0,0.05,0,0.57,0,0,0,0,0,0,0,0.52,1,0.28,0,0,0,1.01,1,0.48,1,0.13,0
6.672,0.98,0.23,0,0,0,0.34,1,0,0,0,0,0,0,0.73,1,1.48,1,0,0,0,0,0,0,0.42,0,0.46,0,0,0,1.43,1,1.18,1,0,0
7.005,0.77,0,0,0.29,0,0,1,0.1,0,0.07,0,0,0,0,0,0.19,0,0,0,0,0,0.2,0,1.31,1,0.49,1,0.32,0,1.58,1,1.1,0,0,0
7.339,0.88,0.46,0,0.23,0,0,1,0.47,0,0.04,0,0,0,0.21,0,0.3,0,0,0,0,0,0.01,0,1.91,1,0.37,0,0.83,0,1.1,1,1.14,0,0,0
7.672,0.88,1.02,0,0.05,0,0.28,1,0.37,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.14,0,1,1,0.61,0,0.04,0,1.35,1,0.57,0,0,0
8.006,0.88,0.15,0,0,0,0.15,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,1,0.85,0,0.51,0,0.66,1,0.39,0,0,0
8.339,0.88,0.29,0,0,0,0.26,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,1.33,1,0.8,0,0.31,0,0.73,1,0.19,0,0,0
8.673,0.88,0.17,0,0,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0.92,1,0.8,1,0.25,0,0.91,1,0.49,0,0,0
9.007,0.88,0.62,0,0,0,0,1,0.06,0,0,0,0,0,0.03,0,0,0,0,0,0.01,0,0,0,1.32,1,1.11,1,0,0,0.81,1,0.3,0,0,0
9.34,0.88,1.28,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,1.28,1,0.19,0,0.11,0,0.21,0,0.52,0,0.1,0
9.674,0.98,0.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,1,0,0,0.5,0,0,0,0,0,0,0
10.007,0.98,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1,0,0,0.53,0,0,0,0,0,0,1
10.341,0.98,1.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07,1,0,0,0,1,0.64,1,0,0,0.36,0,0.02,0,0.34,0,0,0
