Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.88,0,1,0.69,1,0.81,1,0.23,0,0,0,1.69,1,0,0,0,0,0,0,0,0,1.64,0,1.14,1,0.09,0,0,0,0,0,0,0,0.5,0
0.334,0.88,0.27,1,0.19,0,0.61,0,0.15,0,0,0,0.29,0,0,0,0,0,0,0,0,0,1.72,0,1.51,1,0,0,0.25,0,0,0,0.12,0,0.33,0
0.667,0.98,0.08,0,0.13,0,1.49,0,0.64,0,0,0,0.43,0,0.99,0,0.16,0,0,0,0,0,1.28,0,1.48,0,0,0,0.17,0,1.48,0,1.01,0,0,0
1.001,0.98,0,0,0.17,0,0,0,1,1,0.16,0,1.44,1,0,0,0,0,0,0,0,0,0.11,0,0.89,1,0,0,0,0,0,0,0,0,0,0
1.335,0.98,0,0,0.56,1,0.06,0,1.05,1,0.25,0,1.35,1,0,1,0,0,0,0,0,0,0,0,0.31,1,0,0,0,0,0,0,0,0,0,0
1.668,0.98,0,0,0.43,0,0,0,1.21,1,0.43,0,1.23,1,0.02,1,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0
2.002,0.98,0,0,0.75,1,0.09,0,1.17,1,0.58,0,1.35,1,0,1,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.336,0.98,0,0,0.29,0,0,0,1.3,1,0.36,0,1.39,1,0.07,1,0,0,0,0,0,0,0.19,0,0.18,1,0,0,0,0,0,0,0.04,0,0,1
2.669,0.93,0.45,1,0.05,0,0.98,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0.62,0,0,0,0,0,0.18,0,0.01,0,0.37,0
3.003,0.93,0,1,0.63,0,1.42,1,0.94,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.99,0,0.93,0,0.01,0,0,0,0.75,0,0.37,0,0.19,0
3.337,0.93,0,1,0.43,0,0.91,0,0.81,0,0,0,0,0,0.34,0,0,0,0,0,0,0,1.22,0,0.87,0,0.74,1,0,0,0.69,0,0.4,0,0,0
3.67,0.93,0.04,1,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0.04,0,1.13,0,0.95,1,0.03,1,0,0,0.2,0,0.28,0,0.43,0
