Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.333,0.98,0.07,0,0.9,0,1.59,1,1.94,1,0.39,1,0,0,0.12,0,0,0,0.13,1,0.12,0,0,1,0.73,0,0,0,0,0,0.81,0,0.4,0,0,0
0.667,0.98,0.12,0,0.78,0,0.91,1,1.21,1,0.22,0,0.03,0,0,0,0,0,0.01,0,0.11,0,0,0,1.12,0,0.03,0,0.07,0,0.44,0,0.53,0,0,0
1,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.334,0.98,0.3,0,0.93,0,0.62,1,1.87,1,0.34,1,0.28,0,0,0,0,0,0,1,0.1,0,0,0,0.87,0,0,0,0.07,0,1.11,0,0.71,0,0.13,0
1.667,0.98,0.25,0,0.8,0,1.19,1,1.71,1,0.23,1,0.74,0,0,0,0,0,0.07,1,0.22,0,0,0,0.44,0,0,0,0,0,1,0,0.77,0,0.04,0
2.001,0.98,0.41,0,1.02,0,1.13,1,1.83,1,0.32,0,0,0,0,0,0,0,0,1,0.05,0,1.47,0,0.4,0,0.66,0,0.03,0,2.11,0,0.15,0,0,0
2.334,0.98,0,0,0.93,0,0.65,1,2.25,1,0.31,1,0.1,0,0,0,0,0,0.32,1,0.19,0,0.31,1,0.63,0,0.08,0,0.16,0,1.68,1,0.11,0,0,0
2.668,0.98,0,0,0.87,0,1.44,1,2,1,0.36,0,0.01,0,0,0,0,0,0.03,1,0.05,0,0,1,1.09,1,0.03,0,0.1,0,1.19,0,0.57,0,0,0
3.001,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
