Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.88,1.48,1,0,0,0,1,0,0,0,0,0,0,0.81,0,0.1,0,0,1,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0
0.334,0.93,1.1,1,0,0,0,1,0.44,0,0,0,0,0,0.88,0,0.02,0,0,1,0.15,0,0.01,0,0.68,0,0,0,0,0,0,0,0,0,0,0
0.667,0.98,0.76,1,0,0,0.02,1,0.7,0,0.08,0,0,0,0.38,0,0,0,0,1,0.04,0,0.38,0,0.22,0,0,0,0,0,0.1,0,0.1,0,0,0
1.001,0.98,0.77,0,0,0,0,1,0.03,0,0.07,0,0,0,0.17,0,0,0,0.14,1,0,0,0,0,0.44,0,0,0,0,0,0,0,0.06,0,0,0
1.335,0.98,0.92,0,0,0,0,1,0.42,0,0.18,0,0.04,0,0.38,0,0,0,0.37,1,0,0,0,0,0.44,0,0,0,0,0,0.02,0,0.22,0,0.01,0
1.668,0.98,0.94,0,0,0,0,1,0,0,0,0,0.55,1,0,0,0,1,0.61,1,0,0,0,0,0.31,0,0,1,0,0,0,0,0,0,0,0
2.002,0.98,0.16,0,0,0,0.03,1,0.43,0,0.64,1,1.87,1,0,1,0,0,0.29,1,0,0,0.07,1,1.28,1,0.29,1,0,0,0,0,0.01,0,0,1
2.336,0.98,0.68,0,0,0,0,1,0.66,1,0.54,1,1.68,1,0,0,0,0,0.66,1,0,0,0,0,1.26,1,0.35,1,0,0,0.72,1,0,1,0,0
2.669,0.98,1.18,0,0,0,0,1,0,0,0,0,0.37,0,0,0,0,0,0.12,1,0,0,0,0,1.32,1,0,0,0,0,0,0,0.64,1,0,0
3.003,0.88,1.44,1,0,0,0.03,1,0,0,0,0,0.19,0,0.72,1,0,0,0,1,0,0,0,0,1.05,1,0,0,0,0,0.02,0,0.37,0,0,0
3.337,0.88,1.33,1,0,0,0,1,0.08,0,0,0,0.02,0,0.27,0,0,0,0,1,0,0,0.58,0,1.73,1,0.11,1,0,0,0,0,0,0,0,0
3.67,0.88,1.41,1,0,0,0,1,0,0,0,0,0.23,0,0.3,0,0.06,0,0,1,0,0,0.32,0,1.21,0,0,0,0,0,0.08,0,0.75,0,0,0
4.004,0.93,1.8,1,0,0,0,1,0.69,0,0,0,0,0,0.43,0,0,0,0,0,0.39,0,0.5,0,0.55,0,0,0,0,0,0.38,0,0.22,0,0,0
4.338,0.88,1.34,1,0,0,0,1,0,0,0,0,0,0,0.65,0,0,0,0,0,0.01,0,0.67,0,0.91,0,0,0,0,0,0.17,0,0.33,0,0,0
4.671,0.93,1.71,1,0,0,0.13,1,0.02,0,0,0,0,0,0.4,0,0,0,0,1,0.19,0,0,0,0.87,0,0.08,0,0,0,0.05,0,0.5,0,0,0
5.005,0.93,2.12,1,0,0,0,1,0.88,0,0,0,0,0,0.25,0,0,0,0,0,0.23,0,0.04,0,1.48,0,0.37,0,0,0,0.59,0,0.71,0,0,0
5.339,0.93,1.7,1,0,0,0.01,1,0.67,0,0.01,0,0,0,0.93,1,0.05,0,0,0,0,0,1.2,0,2.21,0,0.22,0,0,0,0.44,0,1.02,0,0,0
5.672,0.93,1.66,1,0,0,0,1,1.14,0,0,0,0,0,1.03,1,0.11,0,0,0,0,0,0.78,1,2.03,0,0,0,0,0,0.23,0,1.06,0,0,0
6.006,0.93,1.5,1,0.1,0,0.09,1,1.36,0,0,0,0,0,0.88,1,0,0,0,0,0,0,2.21,1,2.1,1,0.56,0,0,0,1.06,0,1.09,0,0,0
