Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.77,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1,0,1,0,0,0.35,0,0,0,1.36,0,0,0,0,0,1.02,1,1.35,0,0,0
0.333,0.98,0,0,0.27,0,0,0,0,0,0,0,0,0,0.01,0,0.24,1,0,0,0,0,2.15,0,0.9,0,0.69,0,0.27,0,0.12,0,0.05,0,0,0
0.667,0.98,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.08,1,0.03,1,0.45,0,0.28,0,1.42,1,0.38,0,0.62,0,0.01,0,0.48,0,0.61,0
1,0.98,0.47,0,0,0,0,0,1.72,0,0,0,0,0,0.53,0,0,0,0,1,0,0,0.22,1,1.8,1,0,0,0.69,0,1.24,0,1.46,0,0.03,1
1.334,0.98,0.86,0,0,0,0,0,0.95,0,0,0,0,0,0.08,0,0,0,0,1,0,0,0,0,1.17,0,0.46,0,0.7,0,0.37,0,1.09,0,0,0
1.667,0.98,0.75,1,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0.05,1,0.22,0,0,0,0.87,0,0.16,0,0.81,0,0.31,0,0.67,0,0,0
2.001,0.88,0.57,1,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0.21,1,0.17,0,0,0,0.36,0,0.12,0,0.27,0,0.45,0,0.22,0,0,0
2.334,0.88,0.59,1,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.3,1,0.02,0,0.21,0,1.04,0,0.02,0,0.44,0,0.21,0,0.53,0,0,0
2.668,0.93,0.57,0,0,0,0.61,1,0,0,0.17,0,0,0,0,0,0.13,1,0,1,0.27,0,0,0,0.07,0,0.29,0,0,0,0.61,0,0.08,0,0,0
3.001,0.88,0.87,0,0,0,0.08,1,0,0,0,0,0.11,0,0,0,0.66,1,0,0,0.03,0,0,0,0.06,0,0.04,0,0,0,0,1,0,0,0,0
3.335,0.88,0.91,0,0,0,0,0,0,0,0,0,0.02,0,0,1,1.15,1,0,0,0.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.668,0.88,1.15,0,0,0,0,0,0,0,0.04,0,0.34,0,1.03,0,2.4,1,0,0,1.04,0,0.21,0,0.55,1,0.29,0,0,0,0,1,0.1,0,0,0
4.002,0.82,0.53,0,0,0,0,0,0,0,0.21,0,0.7,0,1.81,1,3.06,1,0,0,0.48,0,0,0,0.52,1,0.34,0,0,0,0,1,0.11,1,0,0
4.335,0.88,1.01,0,0,0,0.56,1,0.07,0,0.17,0,0.89,1,0,0,0.32,1,0,0,0.24,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0
4.669,0.88,0.59,0,0,0,0.16,1,0,0,0.01,0,0.56,1,0,0,0.05,1,0,0,0.21,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
5.002,0.98,0.04,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1,0,1,0.18,0,0,0,0.04,0,0.13,0,0.03,0,0,0,0.36,0,0.08,0
5.336,0.98,0.49,1,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.09,1,0,0,0,0,0.6,0,0.37,0,0,0,0.19,0,1.16,0,0.28,0
5.669,0.98,0.6,0,0,0,0,0,1.21,0,0,0,0,0,0.5,0,0.1,0,0,1,0,0,0.1,1,0.97,0,0,0,0,0,0.98,1,0.87,0,0.12,0
6.003,0.98,0.87,0,0,0,0,0,1.87,0,0,0,0,0,0.44,0,0,0,0,1,0,0,0.1,1,1.76,1,0,0,0,0,0.48,0,0.8,0,0.01,0
6.336,0.98,1,0,0,0,0.13,0,1.65,0,0,0,0.03,0,0.65,0,0,0,0,1,0,0,0.12,1,1.49,1,0,0,0.19,0,0.19,0,0.6,0,0.26,1
6.67,0.98,1.07,0,0,0,0,0,1.8,0,0,0,0,0,0.28,0,0,0,0,1,0,0,0.13,1,1.64,1,0,0,0.22,0,0.5,0,0.9,0,0.08,1
7.003,0.98,0.94,0,0,0,0,0,1.98,0,0,0,0,0,0.28,0,0,0,0,1,0,0,0.1,1,1.52,1,0,0,0.49,0,0.51,0,1.09,0,0,0
7.337,0.98,0.85,0,0,0,0,0,1.78,0,0,0,0,0,0.35,0,0,0,0,1,0,0,0.17,1,1.44,1,0,0,0.19,0,0.61,0,0.96,0,0.16,0
7.67,0.98,0.98,0,0,0,0,0,2.02,0,0,0,0,0,0.43,0,0,0,0,1,0,0,0.45,1,1.62,1,0.14,0,0.25,0,0.33,0,0.87,0,0.04,0
8.004,0.98,0.73,0,0,0,0,0,1.93,0,0,0,0,0,0.31,0,0,0,0,1,0.01,0,0.08,1,1.43,0,0.06,0,0.29,0,0.62,0,1.18,0,0.04,0
8.337,0.98,0.94,0,0,0,0,0,1.63,0,0,0,0,0,0.32,0,0,0,0,1,0.14,0,0.18,1,1.58,1,0.04,0,0.32,0,0.6,0,1.09,0,0.13,0
8.671,0.98,0.64,0,0,0,0,0,1.8,0,0,0,0,0,0.22,0,0,0,0,1,0.02,0,0.03,1,1.75,1,0.04,0,0.49,0,0.95,0,1.29,0,0.09,0
