Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.334,0.88,0,1,0,0,0,0,0.05,0,0.15,0,0.51,0,2.01,1,1.09,1,0.77,0,0,0,3.5,1,2.1,0,0,0,2.28,1,1.3,0,1.8,0,0,1
0.667,0.88,0,1,0,0,0,0,0.06,0,0.1,0,0.39,0,0.92,1,0.5,1,1.11,0,0,0,1.35,0,1.03,0,0,0,1.14,0,2.22,0,2.24,0,0.09,0
1.001,0.88,0,1,0,0,0,0,0.15,0,0,0,0.23,0,1.31,1,0.71,1,1.76,0,0,0,1.36,0,1.67,0,0,0,1.51,0,2.9,0,3.49,0,0.14,1
1.335,0.88,0,1,0,0,0,0,0.53,0,0.69,0,0.64,1,1.65,1,0.86,1,1.2,0,0,0,1.08,0,1.44,0,0,0,1.37,0,2.76,0,3.55,0,0.01,1
1.668,0.88,0,1,0,0,0.19,0,0.56,0,0.95,0,0.2,0,2.3,1,1.4,1,0.47,0,0,0,2.05,0,1.62,0,0,0,1.85,1,1.69,0,4.38,0,0.02,1
2.002,0.98,0.39,1,0,0,0.83,0,0.39,0,0.28,0,0,0,2.83,1,1.86,1,0.93,0,0,0,3.07,1,2.75,1,0,0,2.48,1,1.98,0,5,1,0,0
2.336,0.98,0,0,0,0,0.48,0,0,0,0,0,0,0,0.65,0,0.22,1,0.21,1,0,0,0,1,0.73,0,0.51,0,0,0,0.89,1,0.44,1,0,0
2.669,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.003,0.98,0.63,1,0,0,0.26,0,1.14,0,0.65,0,1.2,1,3.35,1,2.54,1,1.14,0,0,0,4.14,1,2.36,0,0,0,2.84,1,2.15,1,3.83,1,0,0
3.337,0.88,0,0,0,0,0.83,0,0,0,0.37,0,0,0,0.07,1,0,1,0.27,0,0,0,1.04,1,0.61,0,0.04,0,1.4,1,2.08,1,1.87,0,0,0
3.67,0.88,0,0,0,0,0.75,0,0,0,0.28,0,0,0,0,0,0,1,0.56,1,0,0,0.04,0,0.95,0,0.58,1,0,0,0.31,1,0.69,0,0.06,1
4.004,0.88,0,0,0.02,0,0.31,0,0.73,1,1.02,0,0.24,0,0,0,0,1,0.75,1,0,0,0.05,0,0.91,0,0,0,0,0,0.34,1,0.03,0,0,1
4.338,0.98,0,0,0.01,0,0,0,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,4.93,0,0,0,4.48,1,0,0,1.38,0,0,0,0,0
4.671,0.88,0.28,0,0.7,0,0.3,0,0.83,0,0.38,0,0,0,0.71,1,0,0,0,0,0,0,2.78,0,1.44,1,0.98,1,0,1,0.03,0,0.72,0,0.24,0
5.005,0.98,1.37,1,1.32,1,1.07,0,0,0,0,0,0,0,1.05,1,0,0,0,0,2.19,0,5,0,0,0,3.33,0,3.32,1,0,1,0,0,0.21,1
5.339,0.98,1.36,1,1.42,1,1.73,1,0,1,1.41,0,0.14,0,0.16,1,0,0,0,0,0,0,0.09,0,0.08,0,0,0,0,0,3.31,1,0.64,1,0,1
5.672,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.006,0.77,0,0,0,0,1.67,0,0,0,0.71,0,0.02,0,1.67,0,1.67,0,1.67,0,0,0,0.35,0,0,0,1.67,0,0,0,0.1,0,1.67,0,0,0
6.34,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.673,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.007,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.341,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.674,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.008,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.342,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.675,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.009,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.343,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.676,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
